order_id,product_id,qty,unit_price,cogs
100001,147,3,30.0,18.54
100001,159,1,41.8,30.17
100002,136,1,38.89,23.79
100003,7,1,45.07,24.75
100004,181,2,34.66,19.29
100005,181,1,31.75,20.77
100005,146,1,18.42,10.41
100005,59,2,53.53,40.1
100006,114,3,35.29,19.57
100006,105,1,37.3,20.27
100006,188,1,24.49,17.13
100007,73,1,90.6,68.45
100008,131,1,34.78,25.64
100009,146,1,17.57,10.29
100010,120,1,366.75,210.9
100010,106,1,156.6,93.42
100010,19,1,63.85,42.22
100011,175,1,53.62,43.87
100012,46,1,49.14,37.59
100012,22,1,43.79,27.74
100013,88,2,44.97,25.49
100013,32,2,29.52,19.63
100014,73,1,86.52,68.15
100014,155,1,55.06,30.39
100014,136,2,42.78,22.47
100014,177,1,39.38,27.89
100015,138,2,109.19,74.1
100015,140,2,84.42,63.66
100015,106,1,157.37,95.8
100015,200,1,18.83,10.65
100016,1,1,29.17,18.49
100017,8,1,62.29,42.15
100018,42,2,52.33,38.76
100019,198,1,39.76,30.28
100019,87,1,34.97,23.16
100019,134,1,113.9,60.61
100019,51,2,18.27,12.28
100020,165,2,84.83,53.53
100021,73,1,94.92,69.98
100022,116,1,112.96,65.24
100023,166,1,191.89,137.67
100024,32,2,29.48,19.4
100025,20,2,18.86,10.65
100026,111,1,37.31,27.91
100026,119,1,34.66,21.79
100027,95,1,58.21,31.47
100027,27,2,80.93,62.39
100028,129,3,39.52,21.71
100029,58,1,343.48,260.31
100029,114,1,40.16,18.59
100030,98,2,320.57,220.19
100031,118,2,57.09,37.13
100032,46,1,46.62,37.4
100032,154,1,43.21,24.01
100033,75,1,144.11,90.53
100034,91,1,82.27,48.28
100035,68,1,375.61,241.0
100036,96,1,86.49,47.34
100037,168,1,31.44,17.92
100037,140,1,97.17,58.5
100037,144,1,14.12,7.66
100038,25,1,48.38,29.98
100039,6,2,245.14,144.39
100040,120,1,333.94,219.08
100041,20,1,18.94,10.03
100042,147,1,30.29,18.35
100042,69,3,23.29,17.79
100043,178,1,59.32,37.44
100044,1,1,27.91,19.86
100044,180,1,54.73,27.04
100045,10,1,68.15,46.76
100046,168,1,35.24,18.04
100046,19,1,57.99,40.41
100047,100,1,24.09,16.63
100047,77,1,34.41,24.1
100048,63,1,40.76,26.24
100049,125,2,42.57,22.11
100050,146,1,19.01,10.63
100050,98,1,344.09,214.3
100050,152,1,37.27,26.31
100051,170,1,18.12,11.05
100052,157,1,20.49,11.42
100052,24,2,59.07,26.96
100053,173,1,209.73,154.44
100054,67,1,348.7,206.91
100054,171,1,29.54,19.61
100055,90,1,122.79,80.15
100055,104,1,357.84,207.36
100056,136,1,42.74,23.79
100057,31,1,126.32,72.64
100058,94,1,56.97,40.59
100058,175,3,57.67,43.86
100058,34,1,55.29,32.01
100059,54,1,41.02,27.01
100060,81,1,76.7,53.05
100061,129,1,40.51,21.64
100061,156,1,19.76,12.12
100062,16,1,211.29,128.45
100062,108,1,38.99,23.66
100062,64,1,78.88,53.59
100062,166,1,191.79,149.87
100063,159,1,46.68,27.89
100063,81,2,92.25,52.87
100064,43,1,44.67,26.47
100065,168,1,33.74,18.6
100066,90,1,116.11,80.96
100066,193,1,29.1,19.9
100066,40,1,388.87,185.39
100066,125,1,36.22,22.08
100067,111,1,44.03,28.55
100068,139,1,140.84,86.91
100068,175,1,60.28,42.01
100069,128,1,44.29,24.25
100070,72,1,37.24,24.75
100071,56,1,21.65,17.38
100071,117,1,119.98,59.74
100072,53,2,12.93,9.62
100072,33,1,26.87,20.57
100072,60,1,217.73,105.74
100073,20,1,20.38,10.13
100074,153,2,22.89,14.83
100075,165,1,81.27,56.58
100075,128,1,39.66,22.98
100075,91,3,81.18,51.65
100076,101,3,49.25,38.55
100077,61,2,325.35,211.0
100077,134,1,114.43,62.14
100077,139,1,160.57,85.0
100077,108,2,42.53,24.58
100078,83,1,82.66,52.7
100078,150,2,10.67,6.46
100078,162,3,43.41,30.06
100079,146,1,17.81,10.98
100080,176,1,334.88,196.85
100081,157,1,21.31,12.44
100082,147,1,28.87,17.1
100083,88,1,52.03,26.07
100083,173,2,222.95,158.2
100084,100,2,21.85,15.57
100084,114,1,39.94,19.76
100084,84,1,97.21,53.26
100084,142,2,102.78,56.87
100085,83,1,82.57,49.25
100086,174,1,16.8,9.13
100086,91,1,79.89,50.73
100086,34,1,54.25,33.72
100086,68,1,409.78,222.82
100087,80,1,59.75,42.94
100088,54,1,35.13,27.77
100089,9,1,79.4,42.2
100089,12,1,85.07,48.66
100090,93,1,27.22,14.12
100090,161,1,30.71,21.67
100091,64,1,81.76,50.8
100091,115,1,48.8,34.17
100092,64,1,91.17,49.59
100093,183,2,23.54,15.54
100093,107,3,48.75,32.25
100094,166,1,196.75,139.45
100094,139,2,154.41,87.66
100094,129,1,42.73,21.6
100094,55,1,89.73,48.49
100095,156,1,20.74,11.83
100096,96,2,82.23,49.87
100097,144,1,11.96,7.66
100098,195,2,16.62,11.17
100098,171,1,25.73,19.5
100099,12,1,93.67,49.07
100100,55,1,94.14,48.72
100100,5,1,82.04,46.01
100101,53,2,13.74,9.43
100101,192,1,90.16,52.55
100102,137,2,19.13,9.54
100102,37,1,76.11,54.08
100102,130,1,43.3,24.86
100103,171,1,24.96,19.37
100103,118,1,52.57,37.18
100104,51,3,18.23,11.62
100104,102,1,56.78,39.74
100105,127,1,82.56,51.39
100106,127,1,83.18,50.1
100106,49,1,225.55,161.87
100107,46,1,52.41,35.24
100108,75,1,144.02,93.19
100109,145,1,53.87,35.03
100109,108,1,43.87,24.15
100110,112,1,79.9,48.73
100111,45,1,299.64,206.8
100111,160,1,97.21,61.28
100112,168,1,37.84,18.12
100113,162,1,47.29,29.09
100113,26,1,37.16,25.07
100114,22,1,44.1,26.69
100115,174,2,14.98,9.69
100116,20,2,17.86,10.29
100117,95,1,55.7,33.56
100117,107,1,47.27,31.73
100118,74,1,110.04,66.75
100118,125,1,40.35,22.67
100119,167,1,41.96,22.35
100119,169,1,27.58,15.74
100119,187,2,76.07,37.71
100119,180,1,55.12,28.32
100120,107,1,44.65,31.8
100120,26,1,33.85,23.6
100121,188,3,21.13,16.75
100121,125,2,42.97,22.39
100121,181,1,35.03,20.15
100121,85,1,58.54,42.73
100122,159,1,42.55,30.16
100123,68,1,350.74,219.95
100124,130,1,49.76,24.51
100125,139,1,148.59,86.98
100125,188,1,21.8,17.19
100125,132,2,50.24,29.13
100126,31,1,123.55,71.95
100127,3,1,30.77,14.35
100128,147,2,26.99,17.76
100128,59,1,54.73,38.99
100128,188,1,20.49,16.17
100128,34,1,48.93,31.86
100129,84,1,91.33,50.31
100129,5,1,84.2,44.23
100130,82,3,32.3,17.11
100130,152,1,36.78,25.28
100130,158,1,41.81,31.01
100131,170,1,19.05,10.8
100131,161,1,35.74,20.13
100132,24,1,48.92,26.65
100132,1,1,26.74,19.53
100133,12,1,84.24,45.97
