order_id,return_date_key,return_reason,return_amt
100005,20240121,Changed mind,119.5
100025,20240114,Late delivery,23.85
100070,20240106,Late delivery,21.65
100084,20240103,Size/fit,165.03
100097,20240108,Late delivery,4.95
100111,20240111,Late delivery,309.11
100113,20240121,Size/fit,25.74
100140,20240109,Other,12.82
100150,20240121,Other,8.53
100151,20240122,Changed mind,225.19
100153,20240124,Defective,53.02
100206,20240112,Size/fit,154.85
100241,20240114,Size/fit,12.09
100247,20240114,Other,19.47
100249,20240127,Changed mind,18.02
100250,20240202,Late delivery,143.42
100290,20240122,Defective,25.32
100310,20240110,Changed mind,68.7
100314,20240114,Late delivery,106.26
100315,20240124,Late delivery,158.25
100339,20240110,Size/fit,86.42
100356,20240204,Size/fit,220.77
100396,20240108,Size/fit,61.22
100408,20240130,Changed mind,262.78
100416,20240204,Other,29.72
100437,20240122,Changed mind,74.17
100438,20240201,Defective,19.06
100447,20240110,Size/fit,15.87
100461,20240123,Other,53.87
100463,20240126,Size/fit,15.5
100470,20240131,Late delivery,124.15
100487,20240123,Late delivery,193.99
100488,20240131,Changed mind,38.27
100519,20240114,Late delivery,91.55
100527,20240204,Size/fit,28.81
100528,20240130,Changed mind,47.96
100552,20240116,Changed mind,17.9
100576,20240113,Size/fit,420.49
100592,20240114,Changed mind,32.82
100608,20240123,Other,28.75
100613,20240122,Defective,125.94
100620,20240124,Defective,66.7
100623,20240121,Defective,70.79
100632,20240205,Defective,17.0
100639,20240202,Late delivery,78.27
100680,20240203,Defective,11.83
100690,20240112,Other,169.13
100692,20240208,Size/fit,46.77
100700,20240122,Changed mind,54.88
100703,20240203,Size/fit,52.41
100715,20240119,Size/fit,201.96
100725,20240127,Size/fit,85.64
100731,20240114,Other,35.67
100735,20240113,Late delivery,149.55
100743,20240115,Size/fit,193.26
100780,20240122,Changed mind,13.14
100783,20240118,Defective,22.92
100801,20240116,Changed mind,9.71
100805,20240119,Size/fit,9.35
100806,20240127,Changed mind,79.32
100826,20240208,Late delivery,141.3
100862,20240118,Late delivery,16.91
100863,20240129,Defective,51.84
100870,20240204,Size/fit,30.79
100889,20240129,Size/fit,101.97
100898,20240206,Defective,131.09
100899,20240123,Late delivery,43.52
100901,20240125,Size/fit,98.48
100908,20240118,Size/fit,78.99
100921,20240211,Late delivery,90.37
100941,20240210,Size/fit,33.9
100971,20240118,Size/fit,36.13
100993,20240128,Defective,27.15
101002,20240128,Changed mind,68.15
101014,20240124,Changed mind,47.97
101027,20240124,Size/fit,48.14
101033,20240205,Changed mind,73.02
101052,20240121,Defective,13.38
101054,20240126,Size/fit,9.62
101065,20240207,Defective,14.76
101067,20240204,Size/fit,53.61
101072,20240209,Changed mind,14.66
101077,20240207,Defective,33.92
101087,20240204,Size/fit,28.63
101096,20240214,Changed mind,18.44
101105,20240123,Changed mind,137.08
101107,20240119,Other,206.89
101141,20240206,Size/fit,107.29
101145,20240129,Changed mind,22.94
101165,20240206,Changed mind,13.8
101176,20240209,Size/fit,38.11
101187,20240124,Other,14.69
101195,20240120,Changed mind,5.21
101200,20240213,Size/fit,3.21
101209,20240122,Defective,100.91
101224,20240129,Late delivery,32.48
101247,20240205,Size/fit,15.2
